node,lat,lon
277360977,13.7142209,100.592541
4965416694,13.7141573,100.5924939
272448122,13.7136087,100.5920844
4964466757,13.7134958,100.591967
272448123,13.7134086,100.5918306
1686126944,13.713327,100.5916606
4965416748,13.7130515,100.5910215
272448124,13.7127352,100.5904096
1686126933,13.7127055,100.5902453
272448125,13.7126685,100.5900405
272448126,13.7126352,100.5896629
5072585722,13.7126403,100.5895629
5072585730,13.7126679,100.5890207
1686126935,13.7128026,100.5863787
2189041843,13.7129083,100.584114
272448127,13.7129128,100.5840172
2189041844,13.7129279,100.5837075
272448128,13.7129854,100.5813201
272448130,13.7130276,100.5809669
272448131,13.713168,100.5805494
2496043704,13.7143276,100.5778755
2496043708,13.7146403,100.5771568
2496043709,13.7147324,100.576945
272448132,13.7151367,100.5760158
6427109881,13.7159024,100.574151
4552151235,13.7160233,100.5738566
1800206471,13.7164293,100.5728678
5804465636,13.7167396,100.5721119
272448133,13.7167543,100.5720762
5804465643,13.7172218,100.5710218
272555749,13.7174776,100.5704181
272555738,13.7177855,100.5697444
272448134,13.7178883,100.5695184
5804465574,13.7179598,100.5693368
3048996870,13.7184909,100.5680173
272448135,13.7185392,100.5679058
272555800,13.7188283,100.5672383
272448137,13.7188886,100.5670945
5678756065,13.7192591,100.5662358
4913333824,13.7195893,100.5654708
272448138,13.7196191,100.565342
4913333825,13.7196336,100.5652106
272448139,13.719619,100.5650804
272448140,13.7195356,100.5648208
272448142,13.7192266,100.5641124
272448143,13.7190557,100.5637077
272448144,13.7189191,100.5633617
272448205,13.7188472,100.5629867
272448207,13.7188248,100.5626212
269742142,13.7188845,100.5621901
5776921556,13.7192665,100.5612226
277944688,13.7196772,100.5601821
5161241361,13.7198121,100.5598593
1693004037,13.7200355,100.5593249
66263222,13.7200982,100.559144
272488163,13.7201698,100.5589375
1693004125,13.7202199,100.5587931
272491964,13.7206761,100.5576599
272492178,13.7207469,100.5574896
5848045710,13.7209261,100.5570569
5848045703,13.7211356,100.5565511
4553310943,13.7216041,100.55542
1692045559,13.7225812,100.553061
281176687,13.7226449,100.5529112
4089163864,13.7226934,100.5527834
673423509,13.7227789,100.5525581
1692045456,13.7228063,100.5524976
1692045569,13.7228329,100.5524387
1692045583,13.7228648,100.5523682
442119808,13.7228963,100.5522983
6460857220,13.7230669,100.5518903
6479993817,13.7233776,100.5511473
277923169,13.7237382,100.5502851
5278956911,13.72413,100.5493383
510151504,13.7242519,100.5490436
277922943,13.724484,100.5484882
3500011365,13.7247109,100.547942
1702450927,13.7252863,100.5465649
1702450954,13.7255255,100.5459007
3498642725,13.7256277,100.5456617
3498630500,13.7258963,100.5450684
6656366665,13.7259169,100.5450263
269742141,13.7259231,100.5450135
5275535759,13.7261096,100.5445758
5275535760,13.7261316,100.5445195
5950997039,13.7261503,100.544465
5950991614,13.7261864,100.5443812
5275513325,13.7262492,100.5442182
5275513330,13.7263255,100.5440229
269742153,13.7264446,100.5437372
5952747999,13.7266272,100.5432863
5952747984,13.7268023,100.5428538
1702450901,13.7268643,100.5427007
5952747995,13.7269568,100.5425138
1702450978,13.7270807,100.5422632
269742135,13.7272424,100.5418593
311074997,13.7275321,100.5411793
5952748005,13.7278229,100.5404967
1685054921,13.7278395,100.5404578
373088906,13.7281708,100.5396584
5952785490,13.728527,100.5388064
3398157557,13.7288946,100.5379273
6544590876,13.7289796,100.5377218
3398157562,13.7291934,100.5372127
3345647589,13.7293595,100.5368154
3345647592,13.7294493,100.5365954
359243169,13.7294606,100.5365682
451698008,13.729504,100.5364471
3345647795,13.7295264,100.5363944
5952892206,13.7298404,100.535657
5952892216,13.7298892,100.5355425
5952892199,13.7300988,100.5350504
2109346804,13.7302143,100.5347791
5952892221,13.7304539,100.5342164
280762301,13.7307169,100.5335989
268268910,13.7311869,100.5324592
5950677356,13.7312142,100.5324058
3717247521,13.7314255,100.5318779
5950671774,13.7314793,100.531746
5950672231,13.7316985,100.5312192
5950672252,13.7319508,100.5306076
5950672244,13.731981,100.5305345
5220102687,13.7319952,100.5305001
373087596,13.7321629,100.5300935
5220102686,13.7322125,100.5299624
1685055474,13.732225,100.5299294
280761503,13.7325165,100.5292189
1703081533,13.7326841,100.5287859
1703081521,13.7327414,100.5286588
280762302,13.7329384,100.5281846
5950519227,13.7330696,100.5278667
5950519233,13.7331058,100.527779
5950519228,13.7331831,100.5275874
5950519327,13.7333755,100.5271098
373087063,13.7336979,100.5263043
5950519342,13.7337435,100.5262024
1684983382,13.7338822,100.5258923
268268463,13.7340535,100.5255097
1685055646,13.7341278,100.5253241
1856531486,13.7343556,100.524747
1856618694,13.734594,100.5241584
5950445291,13.7347111,100.523873
2671137491,13.7348137,100.523623
5950445296,13.7349071,100.5233877
1684983418,13.7350236,100.523094
1684983440,13.7352986,100.5224599
3969172684,13.7353479,100.5223366
3969172681,13.735539,100.5218589
5276500625,13.7355988,100.5217096
268268480,13.7356533,100.5215602
5950346295,13.7356604,100.5215414
268268481,13.7357305,100.5213652
1684983456,13.7359779,100.5207187
5950346332,13.73626,100.5199873
2671137511,13.7363053,100.5198699
5276861237,13.736499,100.519382
5941823634,13.7365645,100.519201
268268906,13.7366245,100.5190602
5276861231,13.7366979,100.5189021
5473926071,13.7367108,100.5188724
4554431101,13.7367628,100.5187421
2464922743,13.7369732,100.5182685
3969150714,13.7372165,100.5176865
4863818629,13.7373447,100.5173797
1856554889,13.7374074,100.5172299
4863818631,13.7374665,100.5170856
1856554893,13.7375867,100.5167922
359595221,13.737673,100.5165976
2591707989,13.7377325,100.5162722
4863715025,13.7378448,100.5158799
4863714923,13.7378592,100.5158206
